Points norm;Points plot;Points;Cp
0;0;0;0,473951341
0,01;0,002;0,002;0,47227272
0,02;0,004;0,004;0,469549449
0,03;0,006;0,006;0,465821592
0,04;0,008;0,008;0,461025027
0,05;0,01;0,01;0,453103394
0,06;0,012;0,012;0,443266584
0,07;0,014;0,014;0,432255469
0,080000005;0,016000001;0,016000001;0,420535253
0,089999995;0,017999999;0,017999999;0,409050181
0,1;0,02;0,02;0,398289949
0,11;0,022;0,022;0,388362026
0,12;0,024;0,024;0,379640394
0,130000005;0,026000001;0,026000001;0,372550334
0,140000005;0,028000001;0,028000001;0,366615539
0,149999995;0,029999999;0,029999999;0,361822192
0,16000001;0,032000002;0,032000002;0,358842164
0,17000001;0,034000002;0,034000002;0,357013548
0,17999999;0,035999998;0,035999998;0,356189536
0,189999995;0,037999999;0,037999999;0,356731983
0,199999995;0,039999999;0,039999999;0,358429735
0,209999995;0,041999999;0,041999999;0,360919368
0,22;0,044;0,044;0,364399993
0,23;0,046;0,046;0,36888885
0,24;0,048;0,048;0,373965979
0,250000005;0,050000001;0,050000001;0,379764491
0,260000005;0,052000001;0,052000001;0,386353568
0,270000005;0,054000001;0,054000001;0,393363452
0,28000001;0,056000002;0,056000002;0,40091315
0,28999999;0,057999998;0,057999998;0,409024904
0,299999995;0,059999999;0,059999999;0,417429518
0,309999995;0,061999999;0,061999999;0,426249913
0,320000015;0,064000003;0,064000003;0,435429033
0,33;0,066;0,066;0,444807243
0,34000002;0,068000004;0,068000004;0,454508991
0,35;0,07;0,07;0,464410246
0,359999985;0,071999997;0,071999997;0,474444329
0,370000005;0,074000001;0,074000001;0,484724636
0,37999999;0,075999998;0,075999998;0,495093542
0,39000001;0,078000002;0,078000002;0,505572644
0,39999999;0,079999998;0,079999998;0,516177276
0,41000001;0,082000002;0,082000002;0,526829453
0,419999995;0,083999999;0,083999999;0,537564472
0,430000015;0,086000003;0,086000003;0,548341536
0,44;0,088;0,088;0,559147665
0,45000002;0,090000004;0,090000004;0,569992435
0,46;0,092;0,092;0,580843696
0,469999985;0,093999997;0,093999997;0,591705652
0,480000005;0,096000001;0,096000001;0,602563346
0,489999985;0,097999997;0,097999997;0,613418339
0,500000005;0,100000001;0,100000001;0,624248761
0,50999999;0,101999998;0,101999998;0,635066972
0,52000001;0,104000002;0,104000002;0,645851529
0,529999995;0,105999999;0,105999999;0,656603945
0,540000015;0,108000003;0,108000003;0,667327383
0,549999995;0,109999999;0,109999999;0,67798914
0,560000015;0,112000003;0,112000003;0,688629806
0,57;0,114;0,114;0,699182925
0,579999985;0,115999997;0,115999997;0,70970222
0,590000005;0,118000001;0,118000001;0,720145972
0,599999985;0,119999997;0,119999997;0,730521192
0,610000005;0,122000001;0,122000001;0,74083871
0,61999999;0,123999998;0,123999998;0,751047075
0,63000001;0,126000002;0,126000002;0,761221378
0,64000003;0,128000006;0,128000006;0,771241305
0,649999975;0,129999995;0,129999995;0,781228015
0,659999995;0,131999999;0,131999999;0,791065908
0,670000015;0,134000003;0,134000003;0,800838169
0,680000035;0,136000007;0,136000007;0,810479498
0,689999985;0,137999997;0,137999997;0,820014224
0,700000005;0,140000001;0,140000001;0,829440573
0,710000025;0,142000005;0,142000005;0,838711668
0,71999997;0,143999994;0,143999994;0,8478963
0,72999999;0,145999998;0,145999998;0,856871173
0,74000001;0,148000002;0,148000002;0,865784988
0,75000003;0,150000006;0,150000006;0,874395038
0,759999975;0,151999995;0,151999995;0,882968164
0,769999995;0,153999999;0,153999999;0,891182019
0,780000015;0,156000003;0,156000003;0,899347911
0,790000035;0,158000007;0,158000007;0,906993611
0,79999998;0,159999996;0,159999996;0,914565852
0,81;0,162;0,162;0,921730226
0,820000025;0,164000005;0,164000005;0,928638194
0,82999997;0,165999994;0,165999994;0,934574059
0,83999999;0,167999998;0,167999998;0,940398389
0,85000001;0,170000002;0,170000002;0,945886895
0,86000003;0,172000006;0,172000006;0,9504941
0,869999975;0,173999995;0,173999995;0,952770905
0,879999995;0,175999999;0,175999999;0,955096575
0,890000015;0,178000003;0,178000003;0,957545637
0,900000035;0,180000007;0,180000007;0,957398516
0,90999998;0,181999996;0,181999996;0,950471754
0,92;0,184;0,184;0,943482193
0,93000002;0,186000004;0,186000004;0,93630847
0,93999997;0,187999994;0,187999994;0,922104186
0,94999999;0,189999998;0,189999998;0,882258383
0,96000001;0,192000002;0,192000002;0,828762981
0,97000003;0,194000006;0,194000006;0,703575865
0,979999975;0,195999995;0,195999995;0,529275532
0,989999995;0,197999999;0,197999999;-0,152433576
1,000000015;0,200000003;0,200000003;-0,834142684
