Points norm;Points plot;Points;Cp
2;0,4;0,200000003;-0,312566479
2,01;0,402;0,197999999;-0,314905044
2,02;0,404;0,195999995;-0,317243608
2,03;0,406;0,194000006;-0,318057138
2,04;0,408;0,192000002;-0,318723058
2,05;0,41;0,189999998;-0,319819618
2,06;0,412;0,187999994;-0,320998169
2,07;0,414;0,186000004;-0,321904683
2,08;0,416;0,184;-0,322736615
2,09;0,418;0,181999996;-0,323734856
2,1;0,42;0,180000007;-0,324789753
2,11;0,422;0,178000003;-0,325629795
2,12;0,424;0,175999999;-0,326387559
2,13;0,426;0,173999995;-0,327051058
2,14;0,428;0,172000006;-0,327677234
2,15;0,43;0,170000002;-0,328097613
2,16;0,432;0,167999998;-0,328440164
2,17;0,434;0,165999994;-0,328637971
2,18;0,436;0,164000005;-0,328787687
2,19;0,438;0,162;-0,328752922
2,2;0,44;0,159999996;-0,328669495
2,21;0,442;0,158000007;-0,328433475
2,22;0,444;0,156000003;-0,328169996
2,23;0,446;0,153999999;-0,327735367
2,24;0,448;0,151999995;-0,327284734
2,25;0,45;0,150000006;-0,326679503
2,26;0,452;0,148000002;-0,326057686
2,27;0,454;0,145999998;-0,325299207
2,28;0,456;0,143999994;-0,324510249
2,29;0,458;0,142000005;-0,323616554
2,3;0,46;0,140000001;-0,322676184
2,31;0,462;0,137999997;-0,321651947
2,32;0,464;0,136000007;-0,320567869
2,33;0,466;0,134000003;-0,319424991
2,34;0,468;0,131999999;-0,318207603
2,35;0,47;0,129999995;-0,316952868
2,36;0,472;0,128000006;-0,315614185
2,37;0,474;0,126000002;-0,314256874
2,38;0,476;0,123999998;-0,31281455
2,39;0,478;0,122000001;-0,31135465
2,4;0,48;0,119999997;-0,309838486
2,41;0,482;0,118000001;-0,308294791
2,42;0,484;0,115999997;-0,306718427
2,43;0,486;0,114;-0,305111413
2,44;0,488;0,112000003;-0,303490681
2,45;0,49;0,109999999;-0,301841768
2,46;0,492;0,108000003;-0,300187747
2,47;0,494;0,105999999;-0,298520653
2,48;0,496;0,104000002;-0,296851848
2,49;0,498;0,101999998;-0,29518114
2,5;0,5;0,100000001;-0,2935164
2,51;0,502;0,097999997;-0,291854753
2,52;0,504;0,096000001;-0,290210838
2,53;0,506;0,093999997;-0,288578217
2,54;0,508;0,092;-0,28696389
2,55;0,51;0,090000004;-0,285377204
2,56;0,512;0,088;-0,283804345
2,57;0,514;0,086000003;-0,282277477
2,58;0,516;0,083999999;-0,280774912
2,59;0,518;0,082000002;-0,279307434
2,6;0,52;0,079999998;-0,277894733
2,61;0,522;0,078000002;-0,276510849
2,62;0,524;0,075999998;-0,275196351
2,63;0,526;0,074000001;-0,27393479
2,64;0,528;0,071999997;-0,272715817
2,65;0,53;0,07;-0,271601719
2,66;0,532;0,068000004;-0,270539037
2,67;0,534;0,066;-0,269552966
2,68;0,536;0,064000003;-0,268679621
2,69;0,538;0,061999999;-0,267871963
2,7;0,54;0,059999999;-0,267178693
2,71;0,542;0,057999998;-0,266607471
2,72;0,544;0,056000002;-0,266119286
2,73;0,546;0,054000001;-0,265783212
2,74;0,548;0,052000001;-0,265582107
2,75;0,55;0,050000001;-0,265483346
2,76;0,552;0,048;-0,265567203
2,77;0,554;0,046;-0,265805236
2,78;0,556;0,044;-0,266165108
2,79;0,558;0,041999999;-0,266723121
2,8;0,56;0,039999999;-0,267454283
2,81;0,562;0,037999999;-0,26831552
2,82;0,564;0,035999998;-0,269354185
2,83;0,566;0,034000002;-0,270579491
2,84;0,568;0,032000002;-0,271929435
2,85;0,57;0,029999999;-0,273415191
2,86;0,572;0,028000001;-0,275074345
2,87;0,574;0,026000001;-0,276814564
2,88;0,576;0,024;-0,278625368
2,89;0,578;0,022;-0,280490343
2,9;0,58;0,02;-0,28233076
2,91;0,582;0,017999999;-0,284106477
2,92;0,584;0,016000001;-0,285781903
2,93;0,586;0,014;-0,287152219
2,94;0,588;0,012;-0,288221689
2,95;0,59;0,01;-0,28895024
2,96;0,592;0,008;-0,289257068
2,97;0,594;0,006;-0,289080897
2,98;0,596;0,004;-0,288781887
2,99;0,598;0,002;-0,288485376
3;0,6;0;-0,28832774
