Points norm;Points plot;Points;Cp
1;0,2;0;-0,834142684
1,01;0,202;0,002;-1,470265916
1,02;0,204;0,004;-1,839629922
1,03;0,206;0,006;-1,675475587
1,04;0,208;0,008;-1,541913362
1,05;0,21;0,01;-1,423647268
1,06;0,212;0,012;-1,329577194
1,07;0,214;0,014;-1,247685572
1,080000005;0,216000001;0,016000001;-1,190150857
1,089999995;0,217999999;0,017999999;-1,136441753
1,1;0,22;0,02;-1,084645383
1,11;0,222;0,022;-1,045544071
1,12;0,224;0,024;-1,007615417
1,130000005;0,226000001;0,026000001;-0,972032081
1,140000005;0,228000001;0,028000001;-0,940167383
1,149999995;0,229999999;0,029999999;-0,910162033
1,16000001;0,232000002;0,032000002;-0,883249337
1,17000001;0,234000002;0,034000002;-0,857364294
1,17999999;0,235999998;0,035999998;-0,833534552
1,189999995;0,237999999;0,037999999;-0,81126448
1,199999995;0,239999999;0,039999999;-0,789774266
1,209999995;0,241999999;0,041999999;-0,770337883
1,22;0,244;0,044;-0,75148262
1,23;0,246;0,046;-0,733789596
1,24;0,248;0,048;-0,717103541
1,250000005;0,250000001;0,050000001;-0,700920971
1,260000005;0,252000001;0,052000001;-0,686055348
1,270000005;0,254000001;0,054000001;-0,671577052
1,28000001;0,256000002;0,056000002;-0,657873408
1,28999999;0,257999998;0,057999998;-0,644854046
1,299999995;0,259999999;0,059999999;-0,63217679
1,309999995;0,261999999;0,061999999;-0,620413527
1,320000015;0,264000003;0,064000003;-0,608923274
1,33;0,266;0,066;-0,597979121
1,34000002;0,268000004;0,068000004;-0,587526565
1,35;0,27;0,07;-0,577319867
1,359999985;0,271999997;0,071999997;-0,567779992
1,370000005;0,274000001;0,074000001;-0,558441882
1,37999999;0,275999998;0,075999998;-0,549507404
1,39000001;0,278000002;0,078000002;-0,540940684
1,39999999;0,279999998;0,079999998;-0,532557893
1,41000001;0,282000002;0,082000002;-0,524679417
1,419999995;0,283999999;0,083999999;-0,516955041
1,430000015;0,286000003;0,086000003;-0,509538782
1,44;0,288;0,088;-0,502405766
1,45000002;0,290000004;0,090000004;-0,495414331
1,46;0,292;0,092;-0,488814257
1,469999985;0,293999997;0,093999997;-0,482334569
1,480000005;0,296000001;0,096000001;-0,476095633
1,489999985;0,297999997;0,097999997;-0,47007938
1,500000005;0,300000001;0,100000001;-0,464174436
1,50999999;0,301999998;0,101999998;-0,458579458
1,52000001;0,304000002;0,104000002;-0,453080325
1,529999995;0,305999999;0,105999999;-0,447772944
1,540000015;0,308000003;0,108000003;-0,442643604
1,549999995;0,309999999;0,109999999;-0,437603314
1,560000015;0,312000003;0,112000003;-0,432811818
1,57;0,314;0,114;-0,428097601
1,579999985;0,315999997;0,115999997;-0,423537908
1,590000005;0,318000001;0,118000001;-0,419122473
1,599999985;0,319999997;0,119999997;-0,414779193
1,610000005;0,322000001;0,122000001;-0,410638337
1,61999999;0,323999998;0,123999998;-0,406560562
1,63000001;0,326000002;0,126000002;-0,402608905
1,64000003;0,328000006;0,128000006;-0,398775121
1,649999975;0,329999995;0,129999995;-0,3950003
1,659999995;0,331999999;0,131999999;-0,391390986
1,670000015;0,334000003;0,134000003;-0,387833411
1,680000035;0,336000007;0,136000007;-0,384379317
1,689999985;0,337999997;0,137999997;-0,381021926
1,700000005;0,340000001;0,140000001;-0,377712849
1,710000025;0,342000005;0,142000005;-0,374539617
1,71999997;0,343999994;0,143999994;-0,371408996
1,72999999;0,345999998;0,145999998;-0,368363527
1,74000001;0,348000002;0,148000002;-0,365397128
1,75000003;0,350000006;0,150000006;-0,362470264
1,759999975;0,351999995;0,151999995;-0,359653374
1,769999995;0,353999999;0,153999999;-0,356870872
1,780000015;0,356000003;0,156000003;-0,354157191
1,790000035;0,358000007;0,158000007;-0,351507484
1,79999998;0,359999996;0,159999996;-0,348889784
1,81;0,362;0,162;-0,346359667
1,820000025;0,364000005;0,164000005;-0,343856053
1,82999997;0,365999994;0,165999994;-0,341405465
1,83999999;0,367999998;0,167999998;-0,339002655
1,85000001;0,370000002;0,170000002;-0,336623743
1,86000003;0,372000006;0,172000006;-0,334308703
1,869999975;0,373999995;0,173999995;-0,332012102
1,879999995;0,375999999;0,175999999;-0,329752327
1,890000015;0,378000003;0,178000003;-0,327522926
1,900000035;0,380000007;0,180000007;-0,32530871
1,90999998;0,381999996;0,181999996;-0,323131423
1,92;0,384;0,184;-0,320962475
1,93000002;0,386000004;0,186000004;-0,31881024
1,93999997;0,387999994;0,187999994;-0,316682998
1,94999999;0,389999998;0,189999998;-0,314568229
1,96000001;0,392000002;0,192000002;-0,312506012
1,97000003;0,394000006;0,194000006;-0,31053185
1,979999975;0,395999995;0,195999995;-0,308733807
1,989999995;0,397999999;0,197999999;-0,309907251
2,000000015;0,400000003;0,200000003;-0,312566479
